DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2014,99.48,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2015,99.51,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2016,99.54,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2017,99.57,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2018,99.61,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2019,99.64,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2020,99.67,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2021,99.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,TV,_T,_T,R,_T,_T,_T,_Z,_T,2022,99.74,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2000,79.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2001,79.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2002,79.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2003,79.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2004,79.71,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2005,80.17,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2006,80.66,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2007,81.15,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2008,81.65,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2009,82.14,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2010,82.64,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2011,83.13,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,VU,_T,_T,R,_T,_T,_T,_Z,_T,2012,83.63,PERCENT,G,_X,,,
